ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.002,0.002,5.727,5.727,/scratch/nathanp/gpu-radix-sort/faasTest/f.py:45(f)
1,0.000,0.000,2.766,2.766,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:301(writeOutput)
1,2.567,2.567,2.567,2.567,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/sort.py:108(sortPartial)
1,0.000,0.000,2.550,2.550,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:215(WriteAll)
1,2.549,2.549,2.549,2.549,{method 'write' of '_io.BufferedRandom' objects}
1,0.126,0.126,0.391,0.391,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:265(readPartRefs)
1,0.000,0.000,0.265,0.265,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:236(read)
1,0.000,0.000,0.265,0.265,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:177(ReadPart)
1,0.265,0.265,0.265,0.265,{method 'readinto' of '_io.BufferedRandom' objects}
1,0.000,0.000,0.183,0.183,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:165(Close)
1,0.000,0.000,0.183,0.183,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:127(__commitMeta)
1,0.034,0.034,0.183,0.183,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:120(dump)
131082,0.020,0.000,0.127,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:413(_iterencode)
131082,0.020,0.000,0.107,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:333(_iterencode_dict)
131076,0.063,0.000,0.087,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:277(_iterencode_list)
262175,0.024,0.000,0.024,0.000,{built-in method builtins.isinstance}
3,0.021,0.007,0.024,0.008,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:35(__init__)
131081,0.021,0.000,0.021,0.000,{method 'write' of '_io.TextIOWrapper' objects}
1,0.000,0.000,0.013,0.013,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:133(Create)
1,0.000,0.000,0.012,0.012,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:58(fromCaps)
4,0.005,0.001,0.005,0.001,{built-in method numpy.array}
