ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,2.464,2.464,f.py:42(f)
1,1.698,1.698,1.698,1.698,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/sort.py:108(sortPartial)
1,0.000,0.000,0.474,0.474,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:288(writeOutput)
1,0.000,0.000,0.473,0.473,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:211(WriteAll)
1,0.473,0.473,0.473,0.473,{method 'write' of '_io.BufferedRandom' objects}
1,0.103,0.103,0.291,0.291,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:252(readPartRefs)
4,0.000,0.000,0.188,0.047,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:232(read)
4,0.000,0.000,0.188,0.047,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:173(ReadPart)
4,0.187,0.047,0.187,0.047,{method 'readinto' of '_io.BufferedRandom' objects}
1,0.000,0.000,0.001,0.001,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:164(Close)
1,0.000,0.000,0.001,0.001,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:126(__commitMeta)
1,0.000,0.000,0.001,0.001,/home/eecs/nathanp/anaconda3/lib/python3.7/json/__init__.py:120(dump)
1,0.000,0.000,0.001,0.001,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:267(getPartRefs)
1,0.000,0.000,0.001,0.001,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:271(<listcomp>)
4,0.000,0.000,0.001,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:239(__fileGetRef)
4,0.000,0.000,0.001,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:148(Open)
522,0.000,0.000,0.001,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:413(_iterencode)
522,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:333(_iterencode_dict)
516,0.000,0.000,0.000,0.000,/home/eecs/nathanp/anaconda3/lib/python3.7/json/encoder.py:277(_iterencode_list)
10,0.000,0.000,0.000,0.000,{built-in method io.open}
1,0.000,0.000,0.000,0.000,/scratch/nathanp/gpu-radix-sort/faasTest/pylibsort/data.py:132(Create)
