==26142== NVPROF is profiling process 26142, command: ./radix_sort
==26142== Profiling application: ./radix_sort
==26142== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",43.329797,603.217819,4,150.804454,150.796039,150.822663,"gpu_radix_sort_local(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int*, unsigned int, unsigned int)"
"GPU activities",23.520587,327.442963,1,327.442963,327.442963,327.442963,"[CUDA memcpy HtoD]"
"GPU activities",23.035503,320.689845,2,160.344922,0.001952,320.687893,"[CUDA memcpy DtoH]"
"GPU activities",8.423548,117.268823,4,29.317205,29.285749,29.396055,"gpu_glbl_shuffle(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int)"
"GPU activities",0.919724,12.803985,1,12.803985,12.803985,12.803985,"gpu_groups(unsigned int*, unsigned int*, int, int, unsigned int)"
"GPU activities",0.585426,8.150033,16,0.509377,0.007008,2.005339,"gpu_prescan(unsigned int*, unsigned int const *, unsigned int*, unsigned int, unsigned int, unsigned int)"
"GPU activities",0.179228,2.495138,12,0.207928,0.002464,0.616169,"gpu_add_block_sums(unsigned int*, unsigned int const *, unsigned int*, unsigned long)"
"GPU activities",0.003797,0.052865,32,0.001652,0.000896,0.003840,"[CUDA memset]"
"GPU activities",0.002388,0.033248,8,0.004156,0.001952,0.006656,"[CUDA memcpy DtoD]"
"API calls",53.145723,934.797558,30,31.159918,0.004590,182.202648,"cudaFree"
"API calls",39.235896,690.133051,11,62.739368,0.008886,350.096017,"cudaMemcpy"
"API calls",7.484560,131.648378,30,4.388279,0.004380,127.186001,"cudaMalloc"
"API calls",0.064063,1.126826,188,0.005993,0.000139,0.221976,"cuDeviceGetAttribute"
"API calls",0.027528,0.484196,2,0.242098,0.241718,0.242478,"cuDeviceTotalMem"
"API calls",0.018562,0.326497,37,0.008824,0.006009,0.015623,"cudaLaunch"
"API calls",0.014748,0.259410,32,0.008106,0.002481,0.036851,"cudaMemset"
"API calls",0.005346,0.094035,2,0.047017,0.045554,0.048481,"cuDeviceGetName"
"API calls",0.002059,0.036220,205,0.000176,0.000127,0.003659,"cudaSetupArgument"
"API calls",0.000652,0.011477,1,0.011477,0.011477,0.011477,"cudaSetDevice"
"API calls",0.000612,0.010765,37,0.000290,0.000173,0.000924,"cudaConfigureCall"
"API calls",0.000104,0.001836,3,0.000612,0.000154,0.001208,"cuDeviceGetCount"
"API calls",0.000092,0.001625,4,0.000406,0.000173,0.000687,"cuDeviceGet"
"API calls",0.000054,0.000947,1,0.000947,0.000947,0.000947,"cudaGetDeviceCount"
